,0,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,ASSET-BACKED SECURITIES,CONSTRUCTION AND ENGINEERING,DIVERSIFIED HOLDINGS,FINANCIAL SERVICES,INDUSTRIAL PRODUCTS,INFRASTRUCTURES AND UTILITIES,MINING & PETROLEUM,PLANTATION AND AGRICULTURE,PROPERTY AND REAL ESTATE,PUBLIC FINANCE,TRADING & SERVICES
125,9,3.176,0.0,2,5.54,6,0,0,0,0,0,0,0,0,1,0,0
126,9,3.205,0.0,2,5.54,3,0,0,0,0,0,0,0,0,1,0,0
127,9,3.038,0.0,2,5.54,3,0,0,0,0,0,0,0,0,1,0,0
128,9,2.726,0.0,2,5.54,3,0,0,0,0,0,0,0,0,1,0,0
129,9,2.729,0.0,2,5.54,3,0,0,0,0,0,0,0,0,1,0,0
130,10,3.993,0.0,2,5.59,84,0,1,0,0,0,0,0,0,0,0,0
131,10,3.77,0.0,2,5.59,84,0,1,0,0,0,0,0,0,0,0,0
132,10,3.819,0.0,2,5.59,84,0,1,0,0,0,0,0,0,0,0,0
133,10,3.854,0.0,2,5.59,84,0,1,0,0,0,0,0,0,0,0,0
134,10,3.837,0.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
135,10,3.625,0.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
136,10,3.419,3.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
137,10,3.898,2.3,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
138,10,3.43,2.3,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
139,10,3.34,2.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
140,10,3.372,2.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
141,10,3.052,2.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
142,10,2.995,0.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
143,10,3.016,0.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
144,10,2.955,0.0,2,5.59,60,0,1,0,0,0,0,0,0,0,0,0
145,11,3.98,0.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
146,11,3.763,0.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
147,11,3.802,0.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
148,11,3.833,0.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
149,11,3.814,0.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
150,11,3.608,0.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
151,11,3.407,3.3,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
152,11,3.853,3.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
153,11,3.402,3.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
154,11,3.306,3.3,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
155,11,3.335,3.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
156,11,3.006,3.0,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
157,11,2.949,2.3,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
158,11,2.969,2.3,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
159,11,2.904,2.3,2,5.54,60,0,1,0,0,0,0,0,0,0,0,0
160,12,4.048,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
161,12,3.816,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
162,12,3.881,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
163,12,3.913,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
164,12,3.889,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
165,12,3.662,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
166,12,3.449,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
167,12,4.001,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
168,12,3.491,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
169,12,3.411,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
170,12,3.446,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
171,12,3.146,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
172,12,3.071,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
173,12,3.093,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
174,12,3.035,0.0,2,5.69,84,0,1,0,0,0,0,0,0,0,0,0
175,13,4.018,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
176,13,3.791,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
177,13,3.848,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
178,13,3.884,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
179,13,3.864,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
180,13,3.645,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
181,13,3.433,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
182,13,3.947,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
183,13,3.459,0.0,2,5.64,84,0,1,0,0,0,0,0,0,0,0,0
184,13,3.375,0.0,2,5.64,60,0,1,0,0,0,0,0,0,0,0,0
185,13,3.409,0.0,2,5.64,60,0,1,0,0,0,0,0,0,0,0,0
186,13,3.1,0.0,2,5.64,60,0,1,0,0,0,0,0,0,0,0,0
187,13,3.029,0.0,2,5.64,60,0,1,0,0,0,0,0,0,0,0,0
188,13,3.053,0.0,2,5.64,60,0,1,0,0,0,0,0,0,0,0,0
189,13,2.995,0.0,2,5.64,60,0,1,0,0,0,0,0,0,0,0,0
190,14,3.644,0.0,2,5.95,6,0,0,0,0,0,0,0,0,0,0,1
191,14,3.579,0.0,2,5.95,6,0,0,0,0,0,0,0,0,0,0,1
192,14,3.501,0.0,2,5.95,6,0,0,0,0,0,0,0,0,0,0,1
193,14,3.526,0.0,2,5.95,3,0,0,0,0,0,0,0,0,0,0,1
194,14,3.44,0.0,2,5.95,3,0,0,0,0,0,0,0,0,0,0,1
195,15,4.11,0.0,2,5.78,120,0,1,0,0,0,0,0,0,0,0,0
196,15,3.879,0.0,2,5.78,120,0,1,0,0,0,0,0,0,0,0,0
197,15,3.955,0.0,2,5.78,120,0,1,0,0,0,0,0,0,0,0,0
