,EVAL MID PRICE
1391,107.949
1392,109.287
1393,109.453
1394,109.135
1395,109.253
1396,103.68
1397,104.658
1398,104.163
1399,104.052
1400,105.704
1401,106.861
1402,107.516
1403,104.537
1404,106.984
1405,107.334
1406,107.157
1407,108.449
1408,108.592
1409,108.715
1410,108.697
1411,105.204
1412,106.485
1413,106.006
1414,105.766
1415,105.805
1416,107.056
1417,108.364
1418,105.021
1419,107.856
1420,108.293
1421,108.002
1422,109.58
1423,109.725
1424,109.704
1425,110.085
1426,108.243
1427,109.535
1428,108.974
1429,108.718
1430,108.697
1431,109.639
1432,110.962
1433,107.456
1434,110.265
1435,110.742
1436,110.414
1437,112.781
1438,112.866
1439,112.785
1440,112.805
1441,107.551
1442,108.754
1443,108.282
1444,107.996
1445,107.967
1446,108.798
1447,109.968
1448,106.927
1449,109.437
1450,109.897
1451,109.582
1452,111.889
1453,111.95
1454,111.856
1455,111.854
1456,106.233
1457,107.713
1458,106.862
1459,106.63
1460,106.67
1461,108.327
1462,109.966
1463,105.339
1464,109.059
1465,109.559
1466,109.237
1467,111.04
1468,111.251
1469,111.307
1470,111.562
1471,107.444
1472,108.802
1473,108.075
1474,107.606
1475,107.58
1476,108.738
1477,110.125
1478,106.993
1479,109.752
1480,110.099
1481,109.728
1482,111.422
1483,111.652
1484,111.319
1485,111.414
1486,104.523
1487,105.644
1488,105.026
1489,104.799
1490,106.704
1491,108.223
1492,108.977
1493,105.106
1494,108.334
1495,108.639
1496,108.441
1497,109.972
1498,110.149
1499,110.377
1500,110.379
1501,106.14
1502,107.558
1503,106.965
1504,106.741
1505,106.774
1506,108.3
1507,109.84
1508,105.576
1509,109.063
1510,109.54
1511,109.223
1512,110.963
1513,111.15
1514,111.19
1515,111.726
1516,109.654
1517,111.094
1518,110.385
1519,110.123
1520,110.103
1521,111.309
1522,112.876
1523,108.418
1524,111.928
1525,112.403
1526,112.055
1527,114.578
1528,114.699
1529,114.705
1530,114.768
1531,108.977
1532,110.339
1533,109.692
1534,109.426
1535,109.412
1536,110.471
1537,111.922
1538,107.934
1539,111.08
1540,111.551
1541,111.21
1542,113.661
1543,113.765
1544,113.744
1545,113.792
1546,107.327
1547,108.925
1548,107.981
1549,107.722
1550,107.711
1551,109.717
1552,111.58
1553,106.15
1554,110.318
1555,110.907
1556,110.529
1557,112.46
1558,112.753
1559,112.769
1560,113.065
1561,105.439
1562,106.666
1563,105.921
1564,105.497
1565,107.684
1566,109.486
1567,110.328
1568,105.722
1569,109.609
1570,109.902
1571,109.72
1572,111.487
1573,111.611
1574,111.92
1575,111.963
1576,111.131
1577,112.695
1578,111.922
1579,111.633
1580,111.576
1581,113.098
1582,114.897
1583,109.591
1584,113.665
1585,114.205
1586,113.809
1587,116.349
1588,116.694
1589,116.707
1590,116.795
1591,110.329
1592,111.83
1593,111.078
1594,110.807
1595,110.771
1596,112.117
1597,113.799
1598,108.907
1599,112.759
1600,113.254
1601,112.879
1602,115.405
1603,115.64
1604,115.654
1605,115.738
1606,106.239
1607,107.559
1608,106.717
1609,106.21
1610,108.649
1611,110.733
1612,111.682
1613,106.395
1614,110.644
1615,111.026
1616,110.852
1617,112.909
1618,113.083
1619,113.338
1620,113.397
1621,101.866
1622,102.503
1623,101.701
1624,109.153
1625,109.69
1626,109.07
1627,109.142
1628,110.209
1629,112.533
1630,113.506
1631,108.573
1632,110.611
1633,111.012
1634,110.948
1635,111.23
1636,111.279
1637,111.399
1638,112.275
1639,101.462
1640,101.316
1641,101.195
1642,100.996
1643,100.636
1644,100.432
1645,100.243
1646,100.016
1647,101.395
1648,101.16
1649,100.899
1650,100.599
1651,104.686
1652,105.1
1653,104.973
1654,104.963
1655,105.344
1656,105.396
1657,105.317
1658,104.031
1659,104.044
1660,104.133
1661,104.11
1662,104.137
1663,103.883
1664,103.693
1665,103.539
1666,101.876
1667,101.696
1668,101.44
1669,101.146
1670,100.576
1671,100.252
1672,102.152
1673,102.062
1674,101.835
1675,101.555
1676,101.01
1677,100.732
1678,100.463
1679,100.129
1680,102.314
1681,102.259
1682,102.047
1683,101.787
1684,101.263
1685,100.999
1686,100.756
1687,100.399
1688,100.103
1689,102.736
1690,102.776
1691,102.598
1692,102.382
1693,101.959
1694,101.76
1695,101.543
1696,101.085
1697,100.851
1698,100.626
1699,100.375
1700,100.086
1701,102.599
1702,102.742
1703,102.795
1704,102.702
1705,102.481
1706,102.488
1707,102.612
1708,102.295
1709,102.37
1710,102.354
1711,102.177
1712,102.058
1713,101.934
1714,101.761
1715,101.524
1716,102.587
1717,102.816
1718,102.981
1719,102.935
1720,102.774
1721,102.88
1722,103.171
1723,102.707
1724,103.009
1725,103.072
1726,102.938
1727,103.001
1728,102.98
1729,102.854
1730,102.682
1731,103.354
1732,103.894
1733,104.349
1734,104.304
1735,104.197
1736,104.708
1737,105.489
1738,103.912
1739,105.007
1740,105.167
1741,105.098
1742,105.814
1743,105.927
1744,105.985
1745,105.907
1746,101.302
1747,101.919
1748,102.459
1749,102.433
1750,102.423
1751,103.073
1752,103.97
1753,101.953
1754,103.382
1755,103.608
1756,103.637
1757,104.55
1758,104.676
1759,105.015
1760,104.996
1761,100.131
1762,100.19
1763,100.196
1764,100.179
1765,100.156
1766,100.171
1767,100.196
1768,100.149
1769,100.098
1770,100.034
1771,100.165
1772,100.108
1773,100.086
1774,100.054
1775,100.005
1776,100.673
1777,100.651
1778,100.645
1779,100.539
1780,100.415
1781,100.344
1782,100.29
1783,100.174
1784,100.049
1785,100.394
1786,100.374
1787,100.366
1788,100.345
1789,100.447
1790,100.495
1791,100.613
1792,100.504
1793,100.588
1794,100.644
1795,100.573
1796,100.548
1797,100.466
1798,100.355
1799,100.262
1800,101.155
1801,101.42
1802,101.527
1803,101.464
1804,101.407
1805,101.518
1806,101.735
1807,101.209
1808,101.596
1809,101.787
1810,101.668
1811,101.868
1812,101.81
1813,101.691
1814,101.569
1815,100.044
1816,101.286
1817,101.469
1818,101.513
1819,101.646
1820,100.021
1821,100.116
1822,100.785
1823,100.75
1824,100.734
1825,100.618
1826,100.472
1827,100.382
1828,100.317
1829,100.19
1830,100.053
1831,100.784
1832,100.749
1833,100.734
1834,100.617
1835,100.47
1836,100.381
1837,100.316
1838,100.189
1839,100.052
1840,100.472
1841,100.468
1842,100.444
1843,100.461
1844,100.697
1845,100.862
1846,101.152
1847,100.741
1848,101.192
1849,101.376
1850,101.343
1851,101.618
1852,101.638
1853,101.561
1854,101.521
1855,100.134
1856,100.139
1857,100.106
1858,100.041
1859,102.501
1860,102.273
1861,102.093
1862,101.793
1863,101.278
1864,100.996
1865,100.764
1866,100.457
1867,100.123
1868,101.243
1869,101.28
1870,101.273
1871,101.144
1872,100.977
1873,100.926
1874,100.906
1875,100.708
1876,100.653
1877,100.592
1878,100.419
1879,100.274
1880,100.093
1881,100.722
1882,100.671
1883,100.626
1884,100.69
1885,100.993
1886,101.336
1887,101.714
1888,100.862
1889,101.799
1890,102.082
1891,102.09
1892,102.656
1893,102.733
1894,102.719
1895,102.654
1896,102.438
1897,103.498
1898,102.927
1899,102.773
1900,102.768
1901,103.356
1902,104.057
1903,102.667
1904,103.828
1905,104.238
1906,104.082
1907,104.936
1908,104.789
1909,104.68
1910,104.642
1911,100.638
1912,100.985
1913,101.0
1914,102.516
1915,102.694
1916,102.967
1917,103.123
1918,101.125
1919,100.872
1920,100.8
1921,100.823
1922,101.215
1923,101.835
1924,102.322
1925,100.895
1926,102.355
1927,102.716
1928,102.731
1929,103.608
1930,103.702
1931,103.774
1932,103.77
1933,101.405
1934,102.038
1935,101.857
1936,101.71
1937,101.675
1938,102.114
1939,102.882
1940,101.774
1941,102.83
1942,103.166
1943,102.985
1944,103.844
1945,104.009
1946,103.821
1947,103.889
1948,101.675
1949,102.145
1950,101.978
1951,101.934
1952,101.807
1953,101.919
1954,102.165
1955,101.827
1956,102.078
1957,102.258
1958,102.119
1959,102.292
1960,102.17
1961,101.97
1962,101.869
1963,100.224
1964,101.103
1965,101.118
1966,101.047
1967,101.044
1968,101.22
1969,101.286
1970,100.892
1971,101.095
1972,101.235
1973,101.171
1974,100.66
1975,100.34
1976,100.344
1977,100.387
1978,101.367
1979,101.719
1980,101.614
1981,101.532
1982,101.423
1983,101.597
1984,101.984
1985,101.527
1986,101.888
1987,102.148
1988,101.988
1989,102.376
1990,102.397
1991,102.24
1992,102.204
1993,101.662
1994,102.058
1995,101.933
